Date,Heure,Temperature (°C),Humidité (%),Précipitation (mm),Probabilité Pluie (%),Conditions,Vitesse Vent (km/h),Direction Vent (°),Pression (hPa),Couverture Nuageuse (%)
2025-11-10,00:00,16.2,87,0.0,0,Couvert,2.7,113,1020.3,99
2025-11-10,01:00,15.7,89,0.0,0,Couvert,3.3,131,1019.7,100
2025-11-10,02:00,15.2,91,0.0,0,Couvert,3.6,143,1019.1,100
2025-11-10,03:00,14.7,91,0.0,0,Couvert,3.4,162,1019.2,100
2025-11-10,04:00,14.3,92,0.0,0,Couvert,3.7,169,1019.5,100
2025-11-10,05:00,13.9,93,0.0,0,Couvert,3.8,163,1019.7,100
2025-11-10,06:00,13.6,93,0.0,0,Partiellement nuageux,4.1,165,1019.6,59
2025-11-10,07:00,13.1,95,0.0,0,Partiellement nuageux,4.2,160,1019.7,48
2025-11-10,08:00,12.9,94,0.0,0,Partiellement nuageux,4.2,160,1020.2,50
2025-11-10,09:00,13.5,91,0.0,0,Partiellement nuageux,2.9,173,1020.8,52
2025-11-10,10:00,15.9,78,0.0,0,Couvert,3.7,151,1021.2,86
2025-11-10,11:00,18.4,68,0.0,0,Principalement dégagé,4.3,114,1020.8,34
2025-11-10,12:00,20.1,59,0.0,0,Principalement dégagé,6.3,59,1020.4,33
2025-11-10,13:00,21.1,56,0.0,0,Principalement dégagé,7.4,29,1019.4,24
2025-11-10,14:00,21.5,53,0.0,0,Ciel dégagé,8.3,18,1018.1,7
2025-11-10,15:00,21.2,58,0.0,0,Principalement dégagé,9.6,13,1017.4,6
2025-11-10,16:00,20.6,60,0.0,0,Ciel dégagé,11.1,13,1017.3,0
2025-11-10,17:00,20.0,62,0.0,0,Ciel dégagé,10.9,17,1017.2,0
2025-11-10,18:00,19.1,72,0.0,0,Ciel dégagé,9.6,34,1016.8,0
2025-11-10,19:00,18.1,77,0.0,0,Ciel dégagé,7.1,24,1017.1,0
2025-11-10,20:00,17.5,83,0.0,0,Ciel dégagé,6.6,41,1017.8,5
2025-11-10,21:00,16.9,86,0.0,0,Ciel dégagé,6.0,57,1018.1,7
2025-11-10,22:00,16.3,91,0.0,0,Ciel dégagé,5.6,75,1018.0,0
2025-11-10,23:00,15.8,90,0.0,0,Ciel dégagé,5.1,98,1017.5,0
2025-11-11,00:00,15.4,90,0.0,0,Ciel dégagé,3.6,45,1017.2,0
2025-11-11,01:00,15.1,91,0.0,0,Ciel dégagé,3.9,68,1016.7,0
2025-11-11,02:00,14.8,89,0.0,0,Ciel dégagé,4.1,75,1016.1,0
