datetime,ghi,temp_air,cloud_cover,cell_temperature,dc_power_kw,ac_power_kw,date
2025-11-10 00:00:00,0.0,16.2,99,16.2,-4.420246398330242e-27,-0.047,2025-11-10
2025-11-10 01:00:00,0.0,15.9,100,15.9,0.0,-0.047,2025-11-10
2025-11-10 02:00:00,0.0,14.9,100,14.9,-4.420246398330242e-27,-0.047,2025-11-10
2025-11-10 03:00:00,0.0,14.0,100,14.0,0.0,-0.047,2025-11-10
2025-11-10 04:00:00,0.0,13.6,100,13.6,-0.0,-0.047,2025-11-10
2025-11-10 05:00:00,0.0,13.3,93,13.3,-4.420246398330242e-27,-0.047,2025-11-10
2025-11-10 06:00:00,0.0,13.1,60,13.1,-4.420246398330242e-27,-0.047,2025-11-10
2025-11-10 07:00:00,0.0,12.9,57,12.9,4.420246398330242e-27,-0.047,2025-11-10
2025-11-10 08:00:00,0.0,12.7,54,12.7,0.0,-0.047,2025-11-10
2025-11-10 09:00:00,63.0,13.4,69,14.695375906270176,4.420246398330242e-27,9.63499550418264,2025-11-10
2025-11-10 10:00:00,212.0,15.6,76,20.203355154830565,0.0,38.22099781752671,2025-11-10
2025-11-10 11:00:00,377.0,18.3,39,27.394694375807166,0.0,71.52735823018749,2025-11-10
2025-11-10 12:00:00,545.0,20.0,39,31.681874479362403,4.420246398330242e-27,100.0,2025-11-10
2025-11-10 13:00:00,628.0,21.0,13,33.01499012367527,4.420246398330242e-27,100.0,2025-11-10
2025-11-10 14:00:00,661.0,21.4,7,32.32326229326196,6.630369597495363e-27,100.0,2025-11-10
2025-11-10 15:00:00,614.0,21.2,3,29.384520252988978,0.0,92.94555429587164,2025-11-10
2025-11-10 16:00:00,504.0,20.6,0,25.573759282510736,6.630369597495363e-27,60.787129098754946,2025-11-10
2025-11-10 17:00:00,342.0,19.9,9,22.685767751281507,0.0,30.82126554560265,2025-11-10
2025-11-10 18:00:00,151.0,19.1,8,20.009932714523888,0.0,9.005991901886011,2025-11-10
2025-11-10 19:00:00,12.0,18.1,0,18.23469160718248,6.630369597495363e-27,0.6164798431227645,2025-11-10
2025-11-10 20:00:00,0.0,17.4,7,17.4,6.630369597495363e-27,-0.047,2025-11-10
2025-11-10 21:00:00,0.0,16.9,8,16.9,0.0,-0.047,2025-11-10
2025-11-10 22:00:00,0.0,16.2,0,16.2,0.0,-0.047,2025-11-10
2025-11-10 23:00:00,0.0,15.7,7,15.7,0.0,-0.047,2025-11-10
2025-11-11 00:00:00,0.0,15.3,0,15.3,0.0,-0.047,2025-11-11
2025-11-11 01:00:00,0.0,15.0,0,15.0,0.0,-0.047,2025-11-11
2025-11-11 02:00:00,0.0,14.7,0,14.7,0.0,-0.047,2025-11-11
2025-11-11 03:00:00,0.0,14.4,0,14.4,0.0,-0.047,2025-11-11
2025-11-11 04:00:00,0.0,14.0,0,14.0,0.0,-0.047,2025-11-11
2025-11-11 05:00:00,0.0,13.5,0,13.5,0.0,-0.047,2025-11-11
2025-11-11 06:00:00,0.0,12.6,3,12.6,0.0,-0.047,2025-11-11
2025-11-11 07:00:00,0.0,12.0,23,12.0,0.0,-0.047,2025-11-11
2025-11-11 08:00:00,0.0,11.9,5,11.9,0.0,-0.047,2025-11-11
2025-11-11 09:00:00,67.0,13.3,0,14.435502945239179,0.0,9.5274402529788,2025-11-11
2025-11-11 10:00:00,249.0,16.6,0,21.864514927592236,0.0,42.03498681063021,2025-11-11
